condom,floor,ascensore,accdisabili,indivsapt,totlocali,camereletto,bagno,status,heating,photosnum,totpiani,price,sqfeet,nroom,fibra_ottica,videocitofono,impianto_di_allarme,reception,porta_blindata,esposizione_esterna,cancello_elettrico,portiere_intera_giornata,balcone,arredato,impianto_tv_centralizzato,armadio_a_muro,portiere_mezza_giornata,caminetto,esposizione_interna,mansarda,parzialmente_arredato,taverna,idromassaggio,terrazza,esposizione_doppia,giardino_comune,giardino_privato
320,1 piano,con ascensore,no,Appartamento,Bilocale,1 camera da letto,1 bagno,Ottimo / Ristrutturato,"Centralizzato, ad aria, alimentato a metano",14,6 piani,1900,75,2,yes,no,no,no,yes,no,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,yes,no
180,1 piano,con ascensore,no,Appartamento,Bilocale,1 camera da letto,1 bagno,Buono / Abitabile,"Centralizzato, a radiatori, alimentato a gas",17,5 piani,850,60,2,no,no,no,no,yes,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no
250,5 piano,con ascensore,no,Appartamento,Trilocale,3 camere da letto,1 bagno,Ottimo / Ristrutturato,"Centralizzato, a radiatori, alimentato a gas",20,8 piani,1500,82,3,yes,no,no,no,yes,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no
170,8 piano,con ascensore,no,Attico,Bilocale,1 camera da letto,2 bagni,Ottimo / Ristrutturato,"Centralizzato, a radiatori, alimentato a metano",19,8 piani,1900,107,2,yes,no,no,no,yes,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no
250,4 piano,con ascensore,no,Appartamento,Bilocale,1 camera da letto,1 bagno,Nuovo / In costruzione,"Autonomo, ad aria, alimentato a gas",19,7 piani,2000,65,2,yes,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,no
200,3 piano,con ascensore,con accesso disabili,Appartamento,Trilocale,2 camere da letto,1 bagno,Ottimo / Ristrutturato,"Autonomo, a pavimento",17,5 piani,1700,70,3,yes,yes,yes,no,yes,yes,yes,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,yes,no
200,1 piano,con ascensore,con accesso disabili,Appartamento,Bilocale,1 camera da letto,1 bagno,Ottimo / Ristrutturato,"Autonomo, a pavimento, alimentato a pompa di calore",13,9 piani,1400,50,2,yes,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,no
170,1 piano,con ascensore,no,Appartamento,Bilocale,1 camera da letto,1 bagno,Ottimo / Ristrutturato,"Centralizzato, a radiatori, alimentato a metano",9,5 piani,1430,75,2,yes,yes,no,no,yes,no,no,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,yes,no,no
200,2 piano,con ascensore,no,Appartamento,Quadrilocale,3 camere da letto,1 bagno,Ottimo / Ristrutturato,"Centralizzato, a radiatori, alimentato a metano",20,6 piani,1600,90,4,yes,no,no,no,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no
200,1 piano,con ascensore,no,Appartamento,Bilocale,1 camera da letto,1 bagno,Ottimo / Ristrutturato,"Centralizzato, a radiatori",10,6 piani,800,50,2,no,no,no,yes,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no
